Timestamp,Latitude and Longitude,City,State,Country,Destination,Transportation Mode,Weather
2024-09-24 13:21:47,"[37.4241, -122.1661]",Stanford,California,US,Stanford University,Foot,Hot and Sunny
2024-09-24 13:38:33,"[37.4241, -122.1661]",Stanford,California,US,Stanford University,Bike,Warm
2024-09-24 13:42:15,"[37.4241, -122.1661]",Stanford,California,US,Stanford,Bike,Hot and Sunny
2024-09-24 18:50:36,"[32.7939, -96.8319]",Dallas,Texas,US,Adobe,Train,Warm
2024-09-24 22:25:30,"[37.3394, -121.895]",San Jose,California,US,Palo Alto,Public Transportation,Warm
2024-09-25 12:29:53,"[37.8044, -122.2708]",Oakland,California,US,San Francisco,Public Transportation,Mild
2024-09-26 11:53:41,"[37.4241, -122.1661]",Stanford,California,US,Stanford,Foot,Warm
2024-09-27 09:24:20,"[37.4241, -122.1661]",Stanford,California,US,Stanford University,Foot,Hot and Sunny
2024-09-30 17:53:18,"[20.8895, -156.4743]",Kahului,Hawaii,US,Maui,Flight,Hot and Sunny
2025-12-22 11:51:39,"[51.3396, 12.3713]",Leipzig,Saxony,DE,Chemnitz,Train,Cool
2025-12-22 11:52:30,"[51.3396, 12.3713]",Leipzig,Saxony,DE,Oelsnitz,Train,Cool
