"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
Mitte,Einwohnerdichte,"3889","3949","3919","3914","3991","4048,887811","4079,320816","4153,816775","4241,011976","4332,08258001435","4440","4654","4686,62963596103","4745,05230943518","4778,46016640279","4817,62435146456","4721,4899713467","4937,96561604585","5084,88538681948","5134,455587","5159,598854"
Nordost,Einwohnerdichte,"1673","1655","1613","1592","1585","1565,139379","1584,580476","1597,691042","1639,496243","1660,61770188194","1683","1737","1779,5247571445","1795,55651171337","1809,15551430483","1818,9992419199","1833,02926643862","1861,95362979856","1930,14063093881","1949,144812","1935,689852"
Ost,Einwohnerdichte,"1809","1812","1782","1754","1751","1747,839053","1741,455688","1747,888156","1781,478327","1818,87773995816","1883","1968","2033,48210539269","2063,86518523478","2083,29360274582","2098,98220081725","2099,65627301743","2122,61232506752","2174,95703412718","2185,293396","2211,932237"
Südost,Einwohnerdichte,"1556","1559","1538","1534","1552","1544,281671","1550,081384","1571,346996","1604,878711","1628,81836541139","1661","1702","1732,60436486903","1759,28242140254","1787,40730321249","1804,40115245987","1800,28801843318","1822,09101382488","1857,51728110599","1870,420507","1897,263825"
Süd,Einwohnerdichte,"3627","3641","3590","3562","3624","3640,114591","3650,270047","3701,047327","3767,725553","3816,12355690168","3856","3916","3934,36562814854","3941,03514488268","3970,8158552884","3986,62643722839","3957,46312684366","3992,86135693215","4054,21828908555","4052,330383","4051,563422"
Südwest,Einwohnerdichte,"998","1010","1012","1017","1039","1047,562107","1063,646071","1077,861804","1096,673806","1121,35122157692","1138","1156","1173,61016232925","1187,26952847878","1196,12187280639","1206,96739836105","1197,20790378007","1215,65721649485","1231,40034364261","1233,011168","1240,957904"
West,Einwohnerdichte,"3893","3833","3694","3561","3496","3431,991365","3380,572449","3350,878875","3350,139786","3357,2827964377","3404","3459","3591,24866452864","3624,44428047533","3647,98304692559","3679,13797038893","3688,90401633764","3753,43771272975","3876,31041524847","3873,995916","3912,661675"
Alt-West,Einwohnerdichte,"1835","1841","1818","1805","1820","1837,708985","1856,678934","1891,131426","1945,343387","2008,21708022679","2082","2151","2194,87268255007","2225,81970432632","2246,17448351712","2274,00305880449","2275,58183899275","2289,85120183136","2340,78595955742","2376,917207","2395,154521"
Nordwest,Einwohnerdichte,"719","711","704","729","707","736,8395527","737,2236567","739,0929629","754,8658116","773,682415077402","784","801","822,280973978653","841,76218008051","860,274308179832","877,093240495682","888,405426158178","903,532121832608","924,827233171231","940,0563092","942,974149"
Nord,Einwohnerdichte,"1596","1605","1603","1539","1619","1615,554917","1631,750494","1658,47978","1660,325181","1696,07455297966","1730","1768","1802,60694447452","1831,36450733012","1849,49469521307","1864,154107857","1861,64206164206","1894,94949494949","1938,77233877234","1946,620047","1951,903652"
